events,placarFull,placarHafTime,golsHalfTime,timesgol
Union Berlin v Wolfsburg,2-2,1 - 1,"[52, 66]",52
Monchengladbach v Bayern,3-2,2 - 2,[49],49
Bayern v Mainz,5-2,0 - 2,"[50, 55, 70, 76, 83]",50
Dortmund v Wolfsburg,2-0,0 - 0,"[66, 91]",66
Stuttgart v RB Leipzig,0-1,0 - 0,[67],67
Hertha v Schalke,3-0,1 - 0,"[52, 80]",52
Bielefeld v Monchengladbach,0-1,0 - 0,[58],58
Bremen v Union Berlin,0-2,0 - 2,[],100
Frankfurt v Leverkusen,2-1,1 - 1,[54],54
Hoffenheim v Freiburg,1-3,0 - 3,[58],58
Köln v Augsburg,0-1,0 - 0,[77],77
Wolfsburg v Stuttgart,1-0,0 - 0,[49],49
Freiburg v Hertha,4-1,1 - 0,"[52, 59, 67, 94]",52
Leverkusen v Bayern,1-2,1 - 1,[93],93
Augsburg v Frankfurt,0-2,0 - 0,"[53, 87]",53
Mainz v Bremen,0-1,0 - 0,[90],90
Monchengladbach v Hoffenheim,1-2,1 - 0,"[75, 86]",75
RB Leipzig v Köln,0-0,0 - 0,[],100
Schalke v Bielefeld,0-1,0 - 0,[53],53
Union Berlin v Dortmund,2-1,0 - 0,"[57, 60, 78]",57
Bayern v Wolfsburg,2-1,1 - 1,[50],50
Bielefeld v Augsburg,0-1,0 - 0,[85],85
Hoffenheim v RB Leipzig,0-1,0 - 0,[60],60
Köln v Leverkusen,0-4,0 - 2,"[54, 59]",54
Schalke v Freiburg,0-2,0 - 0,"[50, 68]",50
Bremen v Dortmund,1-2,1 - 1,[78],78
Hertha v Mainz,0-0,0 - 0,[],100
Stuttgart v Union Berlin,2-2,0 - 1,"[77, 85, 90]",77
Frankfurt v Monchengladbach,3-3,3 - 1,"[90, 95]",90
Leverkusen v Hoffenheim,4-1,2 - 0,"[50, 55, 91]",50
Augsburg v Schalke,2-2,1 - 0,"[52, 61, 93]",52
Union Berlin v Bayern,1-1,1 - 0,[67],67
Dortmund v Stuttgart,1-5,1 - 1,"[52, 60, 63, 91]",52
Freiburg v Bielefeld,2-0,0 - 0,"[79, 92]",79
Mainz v Köln,0-1,0 - 0,[55],55
Monchengladbach v Hertha,1-1,0 - 0,"[47, 70]",47
RB Leipzig v Bremen,2-0,2 - 0,[],100
Wolfsburg v Frankfurt,2-1,0 - 0,"[63, 76, 88]",63
Hoffenheim v Augsburg,3-1,1 - 1,"[46, 50]",46
Schalke v Leverkusen,0-3,0 - 1,"[67, 78]",67
Bremen v Stuttgart,1-2,0 - 1,"[91, 93]",91
Bayern v RB Leipzig,3-3,2 - 2,"[48, 75]",48
Bielefeld v Mainz,2-1,2 - 0,[82],82
Frankfurt v Dortmund,1-1,1 - 0,[56],56
Freiburg v Monchengladbach,2-2,1 - 1,"[49, 50]",49
Köln v Wolfsburg,2-2,2 - 1,[47],47
Hertha v Union Berlin,3-1,0 - 1,"[51, 74, 77]",51
Mainz v Hoffenheim,1-1,1 - 0,[62],62
Leverkusen v Hertha,0-0,0 - 0,[],100
Monchengladbach v Schalke,4-1,2 - 1,"[52, 80]",52
Augsburg v Freiburg,1-1,0 - 0,"[64, 80]",64
Dortmund v Köln,1-2,0 - 1,"[60, 74]",60
RB Leipzig v Bielefeld,2-1,1 - 0,"[47, 75]",47
Stuttgart v Bayern,1-3,1 - 2,[87],87
Union Berlin v Frankfurt,3-3,2 - 2,"[79, 82]",79
Wolfsburg v Bremen,5-3,3 - 2,"[47, 76, 95]",47
Köln v Union Berlin,1-2,1 - 1,[72],72
Freiburg v Mainz,1-3,0 - 3,[63],63
Hertha v Dortmund,2-5,1 - 0,"[47, 49, 62, 70, 79, 79]",47
Frankfurt v RB Leipzig,1-1,1 - 0,[57],57
Bayern v Bremen,1-1,0 - 1,[62],62
Bielefeld v Leverkusen,1-2,0 - 1,"[47, 88]",47
Hoffenheim v Stuttgart,3-3,1 - 2,"[48, 71, 93]",48
Monchengladbach v Augsburg,1-1,1 - 0,[88],88
Schalke v Wolfsburg,0-2,0 - 2,[],100
Leverkusen v Monchengladbach,4-3,2 - 2,"[68, 82, 94]",68
Wolfsburg v Hoffenheim,2-1,2 - 0,[87],87
Dortmund v Bayern,2-3,1 - 1,"[48, 80, 83]",48
Augsburg v Hertha,0-3,0 - 1,"[52, 86]",52
Mainz v Schalke,2-2,2 - 1,[82],82
RB Leipzig v Freiburg,3-0,1 - 0,"[70, 89]",70
Stuttgart v Frankfurt,2-2,2 - 0,"[61, 75]",61
Union Berlin v Bielefeld,5-0,3 - 0,"[52, 89]",52
Bremen v Köln,1-1,0 - 0,"[67, 82]",67
Hoffenheim v Union Berlin,1-3,0 - 0,"[60, 80, 85, 94]",60
Hertha v Wolfsburg,1-1,1 - 1,[],100
Freiburg v Leverkusen,2-4,1 - 2,"[64, 72, 76]",64
Monchengladbach v RB Leipzig,1-0,0 - 0,[60],60
Augsburg v Mainz,3-1,1 - 0,"[64, 80, 91]",64
Bielefeld v Dortmund,0-2,0 - 0,"[53, 71]",53
Frankfurt v Bremen,1-1,0 - 0,"[51, 65]",51
Köln v Bayern,1-2,0 - 2,[82],82
Schalke v Stuttgart,1-1,1 - 0,[56],56
Leverkusen v Augsburg,3-1,1 - 0,"[51, 74, 94]",51
Bremen v Hoffenheim,1-1,1 - 1,[],100
Wolfsburg v Bielefeld,2-1,2 - 0,[80],80
