data,events,placarFull,placarHafTime,golsHalfTime,timesgol
06.03.2022,Rennes v Angers,2-0,1 - 0,[87],87
06.03.2022,St. Etienne v Metz,1-0,0 - 0,[52],52
05.03.2022,Nice v PSG,1-0,0 - 0,[88],88
05.03.2022,Lens v Brest,0-1,0 - 0,[59],59
04.03.2022,Lorient v Lyon,1-4,0 - 2,"[57, 59, 78]",57
27.02.2022,Lyon v Lille,0-1,0 - 1,[],100
27.02.2022,Troyes v Marseille,1-1,0 - 1,[90],90
27.02.2022,Angers v Lens,1-2,0 - 0,"[49, 73, 76]",49
27.02.2022,Brest v Lorient,0-1,0 - 0,[73],73
27.02.2022,Clermont v Bordeaux,1-1,1 - 1,[],100
27.02.2022,Metz v Nantes,0-0,0 - 0,[],100
27.02.2022,Monaco v Reims,1-2,0 - 0,"[55, 84, 92]",55
26.02.2022,PSG v St. Etienne,3-1,1 - 1,"[47, 52]",47
26.02.2022,Strasbourg v Nice,0-0,0 - 0,[],100
25.02.2022,Montpellier v Rennes,2-4,2 - 2,"[52, 84]",52
20.02.2022,Marseille v Clermont,0-2,0 - 1,[84],84
20.02.2022,Bordeaux v Monaco,1-1,1 - 0,[67],67
20.02.2022,Lorient v Montpellier,0-1,0 - 0,[56],56
20.02.2022,Reims v Brest,1-1,1 - 1,[],100
20.02.2022,Rennes v Troyes,4-1,2 - 1,"[75, 87]",75
20.02.2022,St. Etienne v Strasbourg,2-2,2 - 2,[],100
20.02.2022,Nice v Angers,1-0,1 - 0,[],100
19.02.2022,Nantes v PSG,3-1,3 - 0,[47],47
19.02.2022,Lens v Lyon,1-1,1 - 1,[],100
18.02.2022,Lille v Metz,0-0,0 - 0,[],100
13.02.2022,Metz v Marseille,1-2,0 - 1,"[52, 82]",52
13.02.2022,Lens v Bordeaux,3-2,3 - 1,[53],53
13.02.2022,Angers v Strasbourg,0-1,0 - 1,[],100
13.02.2022,Brest v Troyes,5-1,2 - 1,"[49, 67, 82]",49
13.02.2022,Clermont v St. Etienne,1-2,1 - 0,"[71, 82]",71
13.02.2022,Nantes v Reims,1-0,1 - 0,[],100
13.02.2022,Monaco v Lorient,0-0,0 - 0,[],100
12.02.2022,Lyon v Nice,2-0,1 - 0,[52],52
12.02.2022,Montpellier v Lille,0-1,0 - 0,[77],77
11.02.2022,PSG v Rennes,1-0,0 - 0,[92],92
06.02.2022,Lille v PSG,1-5,1 - 3,"[51, 67]",51
06.02.2022,Rennes v Brest,2-0,1 - 0,[90],90
06.02.2022,Nice v Clermont,0-1,0 - 0,[77],77
06.02.2022,Reims v Bordeaux,5-0,1 - 0,"[46, 59, 62, 76]",46
06.02.2022,Strasbourg v Nantes,1-0,0 - 0,[74],74
06.02.2022,Troyes v Metz,0-0,0 - 0,[],100
06.02.2022,Lorient v Lens,2-0,1 - 0,[76],76
05.02.2022,Monaco v Lyon,2-0,2 - 0,[],100
05.02.2022,St. Etienne v Montpellier,3-1,0 - 1,"[82, 90, 92]",82
04.02.2022,Marseille v Angers,5-2,2 - 2,"[70, 78, 85]",70
01.02.2022,Lyon v Marseille,2-1,0 - 1,"[76, 89]",76
26.01.2022,Angers v St. Etienne,0-1,0 - 1,[],100
23.01.2022,PSG v Reims,4-0,1 - 0,"[62, 67, 75]",62
23.01.2022,Montpellier v Monaco,3-2,2 - 1,"[82, 91]",82
23.01.2022,Angers v Troyes,2-1,2 - 1,[],100
23.01.2022,Bordeaux v Strasbourg,4-3,3 - 1,"[57, 90, 96]",57
23.01.2022,Clermont v Rennes,2-1,0 - 1,"[60, 71]",60
23.01.2022,Nantes v Lorient,4-2,1 - 0,"[53, 56, 69, 85, 86]",53
23.01.2022,Metz v Nice,0-2,0 - 0,"[58, 86]",58
22.01.2022,Lens v Marseille,0-2,0 - 1,[77],77
22.01.2022,Brest v Lille,2-0,1 - 0,[94],94
21.01.2022,Lyon v St. Etienne,1-0,1 - 0,[],100
19.01.2022,Clermont v Strasbourg,0-2,0 - 1,[77],77
19.01.2022,Lille v Lorient,3-1,3 - 0,[91],91
19.01.2022,Montpellier v Troyes,0-1,0 - 0,[74],74
16.01.2022,Marseille v Lille,1-1,0 - 1,[75],75
