data,events,placarFull,placarHafTime,golsHalfTime,timesgol
12.02.2022,Lazio v Bologna,3-0,1 - 0,"[53, 63]",53
07.02.2022,Salernitana v Spezia,2-2,2 - 2,[],100
06.02.2022,Juventus v Verona,2-0,1 - 0,[61],61
06.02.2022,Udinese v Torino,2-0,0 - 0,"[93, 97]",93
06.02.2022,Bologna v Empoli,0-0,0 - 0,[],100
06.02.2022,Sampdoria v Sassuolo,4-0,2 - 0,"[63, 91]",63
06.02.2022,Venezia v Napoli,0-2,0 - 0,"[59, 100]",59
06.02.2022,Atalanta v Cagliari,1-2,0 - 0,"[50, 64, 68]",50
05.02.2022,Fiorentina v Lazio,0-3,0 - 0,"[52, 70, 81]",52
05.02.2022,Inter v AC Milan,1-2,1 - 0,"[75, 78]",75
05.02.2022,AS Roma v Genoa,0-0,0 - 0,[],100
23.01.2022,AC Milan v Juventus,0-0,0 - 0,[],100
23.01.2022,Empoli v AS Roma,2-4,0 - 4,"[55, 72]",55
23.01.2022,Napoli v Salernitana,4-1,2 - 1,"[47, 53]",47
23.01.2022,Spezia v Sampdoria,1-0,0 - 0,[69],69
23.01.2022,Torino v Sassuolo,1-1,1 - 0,[88],88
23.01.2022,Cagliari v Fiorentina,1-1,0 - 0,"[47, 75]",47
22.01.2022,Lazio v Atalanta,0-0,0 - 0,[],100
22.01.2022,Inter v Venezia,2-1,1 - 1,[90],90
22.01.2022,Genoa v Udinese,0-0,0 - 0,[],100
21.01.2022,Verona v Bologna,2-1,1 - 1,[85],85
17.01.2022,Fiorentina v Genoa,6-0,3 - 0,"[51, 69, 77]",51
17.01.2022,AC Milan v Spezia,1-2,1 - 0,"[64, 96]",64
17.01.2022,Bologna v Napoli,0-2,0 - 1,[47],47
16.01.2022,Atalanta v Inter,0-0,0 - 0,[],100
16.01.2022,AS Roma v Cagliari,1-0,1 - 0,[],100
16.01.2022,Venezia v Empoli,1-1,0 - 1,[73],73
16.01.2022,Sassuolo v Verona,2-4,0 - 2,"[54, 57, 67, 94]",54
15.01.2022,Juventus v Udinese,2-0,1 - 0,[79],79
15.01.2022,Salernitana v Lazio,0-3,0 - 2,[66],66
15.01.2022,Sampdoria v Torino,1-2,1 - 1,[67],67
11.01.2022,Cagliari v Bologna,2-1,0 - 0,"[54, 71, 93]",54
10.01.2022,Torino v Fiorentina,4-0,3 - 0,[58],58
09.01.2022,Inter v Lazio,2-1,1 - 1,[67],67
09.01.2022,Verona v Salernitana,1-2,0 - 1,"[63, 70]",63
09.01.2022,AS Roma v Juventus,3-4,1 - 1,"[48, 53, 70, 72, 77]",48
09.01.2022,Genoa v Spezia,0-1,0 - 1,[],100
09.01.2022,Napoli v Sampdoria,1-0,1 - 0,[],100
09.01.2022,Udinese v Atalanta,2-6,0 - 3,"[59, 76, 88, 89, 92]",59
09.01.2022,Empoli v Sassuolo,1-5,1 - 2,"[67, 71, 92]",67
09.01.2022,Venezia v AC Milan,0-3,0 - 1,"[48, 59]",48
06.01.2022,Juventus v Napoli,1-1,0 - 1,[54],54
06.01.2022,AC Milan v AS Roma,3-1,2 - 1,[82],82
06.01.2022,Sassuolo v Genoa,1-1,0 - 1,[55],55
06.01.2022,Lazio v Empoli,3-3,1 - 2,"[66, 75, 93]",66
06.01.2022,Spezia v Verona,1-2,0 - 0,"[59, 70, 85]",59
06.01.2022,Sampdoria v Cagliari,1-2,1 - 0,"[55, 71]",55
22.12.2021,Empoli v AC Milan,2-4,1 - 2,"[63, 69, 84]",63
22.12.2021,Napoli v Spezia,0-1,0 - 1,[],100
22.12.2021,AS Roma v Sampdoria,1-1,0 - 0,"[72, 80]",72
22.12.2021,Inter v Torino,1-0,1 - 0,[],100
22.12.2021,Verona v Fiorentina,1-1,1 - 0,[81],81
