events,placarFull,placarHafTime,golsHalfTime,timesgol
Crystal Palace v Burnley,0-3,0 - 2,[47],47
Leicester v Liverpool,3-1,0 - 0,"[67, 78, 81, 85]",67
Leeds v Crystal Palace,2-0,1 - 0,[52],52
Sheffield Utd v Chelsea,1-2,0 - 1,"[54, 58]",54
Liverpool v Manchester City,1-4,0 - 0,"[49, 63, 73, 76, 83]",49
Wolverhampton v Leicester,0-0,0 - 0,[],100
Tottenham v West Bromwich,2-0,0 - 0,"[54, 58]",54
Manchester Utd v Everton,3-3,2 - 0,"[49, 52, 70, 95]",49
Fulham v West Ham,0-0,0 - 0,[],100
Burnley v Brighton,1-1,0 - 1,[53],53
Newcastle v Southampton,3-2,3 - 1,[48],48
Aston Villa v Arsenal,1-0,1 - 0,[],100
Tottenham v Chelsea,0-1,0 - 1,[],100
Aston Villa v West Ham,1-3,0 - 0,"[51, 56, 81, 83]",51
Liverpool v Brighton,0-1,0 - 0,[56],56
Leeds v Everton,1-2,0 - 2,[48],48
Burnley v Manchester City,0-2,0 - 2,[],100
Fulham v Leicester,0-2,0 - 2,[],100
Manchester Utd v Southampton,9-0,4 - 0,"[69, 71, 87, 90, 93]",69
Newcastle v Crystal Palace,1-2,1 - 2,[],100
Sheffield Utd v West Bromwich,2-1,0 - 1,"[56, 73]",56
Wolverhampton v Arsenal,2-1,1 - 1,[49],49
Brighton v Tottenham,1-0,1 - 0,[],100
West Ham v Liverpool,1-3,0 - 0,"[57, 68, 84, 87]",57
Leicester v Leeds,1-3,1 - 1,"[70, 84]",70
Chelsea v Burnley,2-0,1 - 0,[84],84
Southampton v Aston Villa,0-1,0 - 1,[],100
Arsenal v Manchester Utd,0-0,0 - 0,[],100
Crystal Palace v Wolverhampton,1-0,0 - 0,[60],60
Manchester City v Sheffield Utd,1-0,1 - 0,[],100
West Bromwich v Fulham,2-2,0 - 1,"[47, 66, 77]",47
Everton v Newcastle,0-2,0 - 0,"[73, 93]",73
Tottenham v Liverpool,1-3,0 - 1,"[47, 49, 65]",47
Everton v Leicester,1-1,1 - 0,[67],67
Manchester Utd v Sheffield Utd,1-2,0 - 1,"[64, 74]",64
Brighton v Fulham,0-0,0 - 0,[],100
Burnley v Aston Villa,3-2,0 - 1,"[52, 68, 76, 79]",52
Chelsea v Wolverhampton,0-0,0 - 0,[],100
Southampton v Arsenal,1-3,1 - 2,[72],72
West Bromwich v Manchester City,0-5,0 - 4,[57],57
Crystal Palace v West Ham,2-3,1 - 2,"[65, 97]",65
Newcastle v Leeds,1-2,0 - 1,"[57, 61]",57
Aston Villa v Newcastle,2-0,2 - 0,[],100
Liverpool v Burnley,0-1,0 - 0,[83],83
Fulham v Manchester Utd,1-2,1 - 1,[65],65
Manchester City v Aston Villa,2-0,0 - 0,"[79, 90]",79
Leicester v Chelsea,2-0,2 - 0,[],100
West Ham v West Bromwich,2-1,1 - 0,"[51, 66]",51
Arsenal v Newcastle,3-0,0 - 0,"[50, 60, 77]",50
